"trial","ID","DATE","COND","dots_rt","screen_id","deck","dots_direction","dots_coherence","dots_accuracy","trial_index","Choice","Number_click_of_click_made","counterclick_speed","Bar_progress","Success","Left_click_number","Right_click_number","confidence_rt","confidence_rating","effort_rt","effort_rating","reward_rt","reward_rating","reward_cond","reward_context","reward_real","choice_rt","button_choice","dots_coherence_grouped","dots_coherence_grouped_n","diff_tapping","new_effort","reward_condi","R_P_E","clicks_binned","n_choice","n_choice1","zconf","zeff","zrew"
1,"1","2021.04.06","1CER",1495.00000000047,"tapping",1,"left",0.12,0,826,"right",9,65,1,"true",7,7,2153,28,2974,60,3055.00000000047,60,"high","3","5",598,"no box","low",10,"easy",40,"exp 3 got 5","POSITIVE",1,"0",0,-1.74900985062664,-0.874742026074391,-1.12540804827633
1,"10","2021.04.12","1CER",1128.00000000047,"tapping",1,"left",0.12,100,1983,"left",8,65,1,"true",7,7,1336.00000000047,98,1565.99999999953,38,2567,87,"high","3","5",990,"box","low",10,"easy",62,"exp 3 got 5","POSITIVE",1,"1",100,1.23212490843691,-1.32574124138706,1.44341854111622
1,"11","2021.04.09","2CRE",1744,"tapping",1,"left",0.12,0,1499,"right",9,65,1,"true",7,7,1847,56,6122,46,5742.00000000047,75,"high","3","5",3470,"no box","low",10,"easy",54,"exp 3 got 5","POSITIVE",2,"0",0,0.146006815284125,-0.262531893117468,0.366377842330498
1,"12","2021.04.09","3ECR",1193,"tapping",1,"left",0.12,100,1477,"left",8,65,1,"true",7,7,2294,79,2575,95,2278,75,"high","3","5",1142,"no box","low",10,"easy",5,"exp 3 got 5","POSITIVE",1,"0",0,1.26894868353957,-1.23068032822101,0.938230263628714
1,"13","2021.04.12","3ECR",1296,"tapping",1,"left",0.12,0,1215,"right",8,65,1,"true",7,7,2710.00000000047,78,2384,0,2406,72,"high","3","5",894,"no box","low",10,"easy",100,"exp 3 got 5","POSITIVE",1,"0",0,1.26111521062536,0.961864118300619,1.37815701498067
1,"14","2021.04.12","2CRE",1152,"tapping",1,"left",0.12,100,1177,"left",8,65,1,"true",7,7,1296,31,2414,32,2462,72,"high","3","5",694,"no box","low",10,"easy",68,"exp 3 got 5","POSITIVE",1,"0",0,-1.26119745158633,0.288694227664334,0.169201805906912
1,"16","2021.04.13","4ERC",1744,"tapping",1,"left",0.12,0,1033,"right",9,65,1,"true",7,7,2902,13,2927.99999999953,90,5150,83,"high","3","5",687.000000000466,"no box","low",10,"easy",10,"exp 3 got 5","POSITIVE",1,"0",0,-1.36862486133143,-1.02087450100573,0.658048357282288
1,"17","2021.04.13","4ERC",1608,"tapping",1,"left",0.12,100,518,"left",9,65,1,"true",7,7,4151,38,2784,63,7223,60,"high","3","5",1583.00000000023,"box","low",10,"easy",37,"exp 3 got 5","POSITIVE",1,"1",100,-1.65636107934682,-0.566416884055978,-0.818982061708715
1,"18","2021.04.13","4ERC",1119,"tapping",1,"left",0.12,100,1430,"left",8,65,1,"true",7,7,1671,89,2665,60,1431.00000000093,55,"high","3","5",535,"box","low",10,"easy",40,"exp 3 got 5","POSITIVE",1,"1",100,0.685397546359445,-0.115067657597848,-1.00731894688629
1,"19","2021.04.13","5RCE",959.999999999534,"tapping",1,"left",0.12,100,1503,"left",8,65,1,"true",7,7,2166,42,2158.99999999953,60,6623,30,"high","3","5",959,"no box","low",10,"easy",40,"exp 3 got 5","POSITIVE",1,"0",0,-0.799413979034243,-0.385044986972137,-1.12880419493328
